system:index,City,Month,PBLTOP,PS,QV2M,T2M,U10M,V10M,.geo
0_00000000000000000000,Ahmedabad,2015-01,89437.71875,100497.5625,0.00480760307982564,292.1882019042969,-1.2374175786972046,-1.2155308723449707,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000001,Aizawl,2015-01,84397.359375,92965.84375,0.008053389377892017,289.8867492675781,0.17329369485378265,0.12793129682540894,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000002,Amaravati,2015-01,85429.84375,100950.2421875,0.010603956878185272,297.11724853515625,-1.7558940649032593,0.35206595063209534,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003,Amritsar,2015-01,92296.3203125,98928.8359375,0.004115510266274214,285.5304260253906,1.2659777402877808,-0.36550575494766235,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000004,Bengaluru,2015-01,79690.0703125,91987.2734375,0.0091228187084198,294.74627685546875,-2.961756706237793,0.27997666597366333,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000005,Bhopal,2015-01,87151.0859375,96250.03125,0.006498672999441624,287.9299011230469,-1.3483076095581055,-1.0966622829437256,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000006,Brajrajnagar,2015-01,91494.296875,98221.9296875,0.0075258370488882065,290.1779479980469,-0.4355436861515045,-1.5043154954910278,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000007,Chandigarh,2015-01,85072.6328125,91605.5234375,0.00418635131791234,283.8169860839844,0.39626407623291016,-0.9173743724822998,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000008,Chennai,2015-01,90345.203125,101432.390625,0.014783695340156555,298.4320068359375,-3.28096079826355,-2.291454315185547,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000009,Coimbatore,2015-01,84447.875,96622.875,0.011084544472396374,297.061767578125,-1.670520305633545,-0.17788074910640717,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000a,Delhi,2015-01,92596.2734375,99196.265625,0.004478005226701498,285.73876953125,2.2574734687805176,-0.5897190570831299,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000b,Ernakulam,2015-01,88572.8359375,100212.4609375,0.013709230348467827,299.72113037109375,-0.7589722275733948,-0.38189631700515747,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000c,Gurugram,2015-01,92596.2734375,99196.265625,0.004478005226701498,285.73876953125,2.2574734687805176,-0.5897190570831299,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000d,Guwahati,2015-01,93295.515625,99892.3203125,0.009595136158168316,291.14227294921875,0.7047564387321472,-0.9708607196807861,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000e,Hyderabad,2015-01,83570.515625,95880.53125,0.007153169251978397,293.99285888671875,-1.9362950325012207,0.1550075113773346,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000f,Jaipur,2015-01,88653.328125,97094.203125,0.00435143057256937,286.6427307128906,-0.6751610636711121,-0.11735855787992477,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000010,Jorapokhar,2015-01,93172.046875,99593.078125,0.0071300119161605835,289.19573974609375,1.7634198665618896,-1.9759167432785034,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000011,Kochi,2015-01,88572.8359375,100212.4609375,0.013709230348467827,299.72113037109375,-0.7589722275733948,-0.38189631700515747,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000012,Kolkata,2015-01,93123.46875,101506.046875,0.007476212456822395,291.3839416503906,1.2122827768325806,-1.9079468250274658,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000013,Lucknow,2015-01,93353.609375,100373.15625,0.005196206737309694,287.4920654296875,2.19527268409729,-0.9248808026313782,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000014,Mumbai,2015-01,87095.15625,99959.2421875,0.007463369984179735,296.356689453125,-1.0001091957092285,-0.8721778988838196,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000015,Patna,2015-01,93914.8046875,101017.703125,0.006398715544492006,288.3512268066406,2.341566324234009,-0.6935387849807739,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000016,Shillong,2015-01,79764.234375,87953.7578125,0.007670796476304531,285.3074951171875,0.793427050113678,0.23073482513427734,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000017,Talcher,2015-01,90415.0078125,99213.1640625,0.008229568600654602,291.62103271484375,-0.08582282811403275,-0.6312472820281982,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000018,Thiruvananthapuram,2015-01,90355.609375,98341.09375,0.01463205087929964,296.4568176269531,-2.501744270324707,-2.0527639389038086,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000019,Visakhapatnam,2015-01,92134.2109375,101253.78125,0.01174124889075756,296.2079772949219,-2.0576250553131104,-1.15771484375,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000000,Ahmedabad,2015-02,86219.59375,100197.640625,0.0046209474094212055,296.7935485839844,0.29557058215141296,-0.8665899038314819,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000001,Aizawl,2015-02,84192.03125,92888.0390625,0.007083582226186991,291.6115417480469,0.5079277157783508,0.17494963109493256,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000002,Amaravati,2015-02,86743.21875,100836.046875,0.011078005656599998,299.4082946777344,-1.4624686241149902,1.9674266576766968,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003,Amritsar,2015-02,89382.390625,98619.34375,0.006174094974994659,289.5248107910156,0.5170921087265015,-0.5393783450126648,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000004,Bengaluru,2015-02,77614.3515625,91935.8828125,0.007373996544629335,296.2078552246094,-3.1663379669189453,0.4761580526828766,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000005,Bhopal,2015-02,81070.2734375,95998.625,0.006490082945674658,293.7509765625,-0.4437009394168854,-0.35092148184776306,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000006,Brajrajnagar,2015-02,85656.5234375,98023.9375,0.00733931316062808,295.2793273925781,0.026798000559210777,-1.1106325387954712,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000007,Chandigarh,2015-02,82950.5234375,91420.5234375,0.005383798386901617,287.8291320800781,-0.015321115963160992,-0.3333622217178345,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000008,Chennai,2015-02,92155.375,101361.8671875,0.014924773015081882,298.9281311035156,-3.5826427936553955,-0.019812386482954025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000009,Coimbatore,2015-02,83177.921875,96555.0234375,0.009340629912912846,298.9101867675781,-1.9688208103179932,-0.020443586632609367,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000a,Delhi,2015-02,91196.5703125,98873.9375,0.005061173811554909,290.9880676269531,1.338352918624878,-0.32622507214546204,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000b,Ernakulam,2015-02,88233.7578125,100125.59375,0.012736042961478233,301.7439270019531,-0.4121870696544647,-0.24072463810443878,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000c,Gurugram,2015-02,91196.5703125,98873.9375,0.005061173811554909,290.9880676269531,1.338352918624878,-0.32622507214546204,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000d,Guwahati,2015-02,92236.3984375,99719.1015625,0.009721319191157818,293.3824462890625,1.4719024896621704,-0.8409437537193298,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000e,Hyderabad,2015-02,78101.734375,95754.8984375,0.007250290829688311,297.3694763183594,-1.5416882038116455,1.7176222801208496,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000f,Jaipur,2015-02,86426.9921875,96786.203125,0.004427586682140827,291.5582580566406,-0.5625590085983276,-0.1191498413681984,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000010,Jorapokhar,2015-02,88227.4921875,99367.828125,0.0073477826081216335,294.3226318359375,1.2141077518463135,-0.9129418730735779,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000011,Kochi,2015-02,88233.7578125,100125.59375,0.012736042961478233,301.7439270019531,-0.4121870696544647,-0.24072463810443878,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000012,Kolkata,2015-02,90258.7109375,101296.09375,0.008679489605128765,295.77532958984375,1.428391933441162,-0.1072002723813057,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000013,Lucknow,2015-02,89475.6015625,100066.9765625,0.005923514254391193,292.8824768066406,1.239029049873352,-0.4027615785598755,"{""type"":""MultiPoint"",""coordinates"":[]}"
