system:index,AOD_550,City,Month,.geo
0_00000000000000000000,473.4384457660489,Ahmedabad,2015-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000001,116.07551829536204,Aizawl,2015-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000002,483.5576559482569,Amaravati,2015-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003,514.4899885028882,Amritsar,2015-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000004,438.8692011210715,Bengaluru,2015-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000005,313.7757996901169,Bhopal,2015-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000006,507.132955254606,Brajrajnagar,2015-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000007,395.22372049003565,Chandigarh,2015-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000008,416.55977974853266,Chennai,2015-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000009,535.237270532455,Coimbatore,2015-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000a,702.545928698727,Delhi,2015-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000b,585.8428545944851,Ernakulam,2015-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000c,597.3824211525944,Gurugram,2015-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000d,479.3993552789432,Guwahati,2015-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000e,479.57072857594886,Hyderabad,2015-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000f,465.97217686699656,Jaipur,2015-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000010,576.556023027059,Jorapokhar,2015-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000011,580.7677086103953,Kochi,2015-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000012,772.8832662772068,Kolkata,2015-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000013,955.076591266171,Lucknow,2015-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000014,494.07679898557217,Mumbai,2015-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000015,858.8686687151285,Patna,2015-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000016,114.19906298754553,Shillong,2015-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000017,576.5140615027799,Talcher,2015-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000018,445.3947547069752,Thiruvananthapuram,2015-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000019,488.6301069460868,Visakhapatnam,2015-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000000,479.28686505952794,Ahmedabad,2015-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000001,232.81526014541123,Aizawl,2015-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000002,406.2740169917606,Amaravati,2015-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003,535.4415156675672,Amritsar,2015-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000004,409.1162687040438,Bengaluru,2015-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000005,420.9761627720441,Bhopal,2015-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000006,474.6965153146376,Brajrajnagar,2015-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000007,459.40265892088297,Chandigarh,2015-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000008,373.45492415303147,Chennai,2015-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000009,501.46005536218524,Coimbatore,2015-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000a,697.9522316368464,Delhi,2015-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
